"","collection_no","record_type","formation","lng","lat","collection_name","collection_subset","collection_aka","n_occs","early_interval","late_interval","max_ma","min_ma","reference_no","paleomodel","paleolng","paleolat","geoplate","mid_ma","ext"
"136486",202002,"col","",-2.470272,42.202091,"Peña Untura tracksite",NA,"San Román de Cameros",1,"Aptian","",125,113,69196,"gp_mid",23.09,32.39,"304",119,1
"136487",202003,"col","",-2.185816,42.124077,"El Corral del Totico 1 tracksite (1TT)",NA,"",2,"Aptian","",125,113,69198,"gp_mid",23.25,32.21,"304",119,1
"136488",202004,"col","",-2.188137,42.124722,"El Corral del Totico 2 tracksite (2TT)",NA,"",4,"Aptian","",125,113,69198,"gp_mid",23.25,32.21,"304",119,1
"136489",202005,"col","",-2.190031,42.124847,"Barranco de Valdegutiérrez tracksite (CS layer)",NA,"1BVG, 2BVG, 5BVG, 6BVG, 7BVG, 8BVG, 9BVG, 11BVG, 12BVG, 14BVG, 15BVG, 20BVG, 24BVG, 26BVG, 27BVG, 28BVG",5,"Aptian","",125,113,69204,"gp_mid",23.24,32.21,"304",119,1
"136502",202017,"col","",-2.190031,42.124847,"Barranco de Valdegutiérrez tracksite (3BVG)",NA,"",2,"Aptian","",125,113,69204,"gp_mid",23.24,32.21,"304",119,1
"136507",202022,"col","",-2.190031,42.124847,"Barranco de Valdegutiérrez tracksite (4BVG)",NA,"",0,"Aptian","",125,113,69204,"gp_mid",23.24,32.21,"304",119,1
"136509",202024,"col","",-2.190031,42.124847,"Barranco de Valdegutiérrez tracksite (21BVG)",NA,"",1,"Aptian","",125,113,69204,"gp_mid",23.24,32.21,"304",119,1
"136511",202026,"col","",-2.190031,42.124847,"Barranco de Valdegutiérrez tracksite (22BVG)",NA,"",1,"Aptian","",125,113,69204,"gp_mid",23.24,32.21,"304",119,1
"136512",202027,"col","",-2.190031,42.124847,"Barranco de Valdegutiérrez tracksite (27BVG)",NA,"",0,"Aptian","",125,113,69204,"gp_mid",23.24,32.21,"304",119,1
"139105",205653,"col","",-2,42.075279,"Los Piojos tracksite",NA,"Igea",1,"Aptian","",125,113,70505,"gp_mid",23.35,32.09,"304",119,1
"140864",208380,"col","Cerro Barcino",-68.466942,-42.834721,"Estancia Opazo",NA,"",1,"Aptian","",125,113,71994,"gp_mid",-26.94,-39.28,"291",119,1
"140867",208383,"col","Cerro Barcino",-68.937775,-43.585556,"Dipnoo",NA,"",1,"Aptian","",125,113,71994,"gp_mid",-27.42,-40.01,"291",119,1
"140868",208384,"col","Cerro Barcino",-69.344444,-43.608612,"Canadon La Primavera",NA,"",1,"Aptian","",125,113,71994,"gp_mid",-27.81,-40.03,"291",119,1
"143913",212810,"col","Carolinefjellet",15.048611,77.622223,"Van Keulenfjorden, Aptian, horizon 2",NA,"",4,"Aptian","",125,113,73480,"gp_mid",42.03,66.77,"309",119,1
"143914",212811,"col","Carolinefjellet",15.048611,77.622223,"Van Keulenfjorden, Aptian, horizon 3",NA,"",3,"Aptian","",125,113,73480,"gp_mid",42.03,66.77,"309",119,1
