"","collection_no","record_type","formation","lng","lat","collection_name","collection_subset","collection_aka","n_occs","early_interval","late_interval","max_ma","min_ma","reference_no","paleomodel","paleolng","paleolat","geoplate","mid_ma","ext"
"42438",63538,"col","Wellenkalk",18.966667,50.299999,"Gogoliner Schichten, Muschelkalk, Chorzow",NA,"",78,"Anisian","",247.2,242,18272,"gp_mid",35.25,30.52,"305",244.6,1
"42638",63924,"col","",34.883331,30.566668,"Beneckeia beds, Member B, Wadi Raman, Negev Desert",NA,"",13,"Anisian","",247.2,242,18339,"gp_mid",39.1,-3.42,"508",244.6,1
"42646",63939,"col","",34.883331,30.566668,"Sandy beds, Member C, Wadi Raman, Negev Desert",NA,"",2,"Anisian","",247.2,242,18339,"gp_mid",39.1,-3.42,"508",244.6,1
"42647",63940,"col","Gevanim",34.883331,30.583332,"Reef beds, Member C, Wadi Ramon, Negev Desert",NA,"Reef 3532",1,"Anisian","",247.2,242,18339,"gp_mid",39.1,-3.4,"508",244.6,1
"42652",63945,"col","",34.883331,30.566668,"Sandy limestone, Ceratites zone 1, Member D, Wadi Raman, Negev Desert",NA,"",17,"Illyrian","",247.2,242,18339,"gp_mid",39.1,-3.42,"508",244.6,1
"42654",63947,"col","",34.883331,30.566668,"Terebratula layer, Ceratites zone 1, Member D, Wadi Raman, Negev Desert",NA,"",1,"Illyrian","",247.2,242,18339,"gp_mid",39.1,-3.42,"508",244.6,1
"42655",63948,"col","",34.883331,30.566668,"Ceratites zone 2, Member D, Wadi Raman, Negev Desert",NA,"",7,"Illyrian","",247.2,242,18339,"gp_mid",39.1,-3.42,"508",244.6,1
"44143",66078,"col","Muschelkalk",9.058333,51.658333,"Astare Bank, Altenheerse Bei Willebadessen augelssener Steinbruch un Fridhof",NA,"",41,"Anisian","",247.2,242,18927,"gp_mid",27.86,30.18,"315",244.6,1
"44145",66080,"col","Muschelkalk",9.116667,51.616669,"Astare Bank, Niesen bei Willebadessen",NA,"",27,"Anisian","",247.2,242,18927,"gp_mid",27.91,30.15,"315",244.6,1
"44148",66083,"col","Muschelkalk",9.033333,51.633331,"Willebadessen IV, Astarte-Bank Collection in Muschelkalk Museum",NA,"",22,"Anisian","",247.2,242,18927,"gp_mid",27.85,30.15,"315",244.6,1
"44149",66084,"col","Muschelkalk",8.7,49.283333,"Wiesloch",NA,"",61,"Anisian","",247.2,242,18927,"gp_mid",28.22,27.82,"305",244.6,1
"44150",66085,"col","Jena",10,51.700001,"Northeim MuJ0 Schneakeribankdieu",NA,"",1,"Anisian","",247.2,242,18927,"gp_mid",28.51,30.36,"315",244.6,1
