"","collection_no","record_type","formation","lng","lat","collection_name","collection_subset","collection_aka","n_occs","early_interval","late_interval","max_ma","min_ma","reference_no","paleomodel","paleolng","paleolat","geoplate","marine","mid_ma","time_bin"
"57735",118935,"col","Kamiyasse",141.526993,38.998501,"KF121, Imo, Yahagi, Rikuzentakata City, Iwate Prefecture",NA,"",2,"Wordian","",268.8,265.1,31807,"gp_mid",137.56,7.02,"610",1,266.95,"wordian"
"57750",118960,"col","Oyakejima",141.488998,38.535999,"KOG3, Obama, Naburi Bay, Ogatsu-cho",NA,"",1,"Wordian","",268.8,265.1,33724,"gp_mid",137.33,6.61,"610",1,266.95,"wordian"
"57758",118969,"col","Oyakejima",141.492004,38.535999,"KOG7, Obama, Naburi Bay, Ogatsu-cho",NA,"",1,"Wordian","",268.8,265.1,33724,"gp_mid",137.34,6.61,"610",1,266.95,"wordian"
"57763",118974,"col","Kamiyasse",141.520996,38.998501,"KF217, Ishikagorisawa, Imo Prefecture",NA,"",16,"Wordian","",268.8,265.1,33725,"gp_mid",137.55,7.02,"610",1,266.95,"wordian"
"58013",119242,"col","",69.449997,34.650002,"Tangui-Charou, Kabul Region",NA,"",2,"Wordian","",268.8,265.1,27451,"gp_mid",53.9,-43.19,"506",1,266.95,"wordian"
"58017",119246,"col","",68.487,34.062,"Katagay Ghar, Section K', Wardak",NA,"",2,"Wordian","",268.8,265.1,27426,"gp_mid",52.73,-42.69,"506",1,266.95,"wordian"
"58018",119247,"col","",10.166,33.437,"Oum el Afia, Djebel Tebaga",NA,"",1,"Wordian","",268.8,265.1,11209,"gp_mid",20.01,-4.19,"715",1,266.95,"wordian"
"58071",119304,"col","Baikur",107.875,74.900002,"Khutudu-Yama River, Outcrop 26, Bed A, Taimyr Peninsula",NA,"",1,"Wordian","",268.8,265.1,27355,"gp_mid",45.05,55.54,"401",1,266.95,"wordian"
"58072",119305,"col","Baikur",107.875,74.900002,"Khutudu-Yama River, Outcrop 4, Taimyr Peninsula",NA,"",1,"Wordian","",268.8,265.1,27355,"gp_mid",45.05,55.54,"401",1,266.95,"wordian"
"58074",119307,"col","Baikur",99.449997,74.550003,"Ledyanaya River, Outcrop 273, Taimyr Peninsula",NA,"",1,"Wordian","",268.8,265.1,27355,"gp_mid",46.21,53.4,"401",1,266.95,"wordian"
"58082",119315,"col","Baikur",99.699997,74.599998,"Shirotnaya River, Outcrop 224, Taimyr Peninsula",NA,"",1,"Wordian","",268.8,265.1,27355,"gp_mid",46.12,53.46,"401",1,266.95,"wordian"
"58083",119316,"col","Baikur",103.400002,75.025002,"Snezhna River, Outcrop 83, Bed 13, Taimyr Lake",NA,"",1,"Wordian","",268.8,265.1,27355,"gp_mid",45.22,54.38,"401",1,266.95,"wordian"
"58084",119317,"col","Baikur",103.400002,75.025002,"Snezhna River, Outcrop 83, Bed 14, Taimyr Lake",NA,"",1,"Wordian","",268.8,265.1,27355,"gp_mid",45.22,54.38,"401",1,266.95,"wordian"
"58090",119323,"col","Baikur",101.050003,74.849998,"Surovogo Lake, Outcrop 634, Taimyr Peninsula",NA,"",1,"Wordian","",268.8,265.1,27355,"gp_mid",45.65,53.8,"401",1,266.95,"wordian"
"58107",119344,"col","Baikur",112.75,74.949997,"Tsvetkov Cape, Outcrop 137, Taimyr Peninsula",NA,"",1,"Wordian","",268.8,265.1,27355,"gp_mid",44.35,56.75,"401",1,266.95,"wordian"
"58108",119345,"col","Baikur",112.75,74.949997,"Tsvetkov Cape, Outcrop 201, Taimyr Peninsula",NA,"",1,"Wordian","",268.8,265.1,27355,"gp_mid",44.35,56.75,"401",1,266.95,"wordian"
"58109",119346,"col","Baikur",112.75,74.949997,"Tsvetkov Cape, Outcrop 224, Taimyr Peninsula",NA,"",1,"Wordian","",268.8,265.1,27355,"gp_mid",44.35,56.75,"401",1,266.95,"wordian"
"58110",119347,"col","Baikur",112.75,74.949997,"Tsvetkov Cape, Outcrop 3437, Taimyr Peninsula",NA,"",2,"Wordian","",268.8,265.1,27355,"gp_mid",44.35,56.75,"401",1,266.95,"wordian"
"58111",119348,"col","Baikur",112.75,74.949997,"Tsvetkov Cape, Outcrop 4970, Bed 1, Taimyr Peninsula",NA,"",1,"Wordian","",268.8,265.1,27355,"gp_mid",44.35,56.75,"401",1,266.95,"wordian"
"58122",119359,"col","Baikur",107.75,74.800003,"Tulay-Kiryaka Plateau, Outcrop 182, Taimyr Peninsula",NA,"",6,"Wordian","",268.8,265.1,27355,"gp_mid",45.24,55.53,"401",1,266.95,"wordian"
"58123",119360,"col","Baikur",107.75,74.800003,"Tulay-Kiryaka Plateau, Outcrop 600, Bed E, Taimyr Peninsula",NA,"",1,"Wordian","",268.8,265.1,27355,"gp_mid",45.24,55.53,"401",1,266.95,"wordian"
"58124",119361,"col","Baikur",107.75,74.800003,"Tulay-Kiryaka Plateau, Outcrop 600, Bed L, Taimyr Peninsula",NA,"",2,"Wordian","",268.8,265.1,27355,"gp_mid",45.24,55.53,"401",1,266.95,"wordian"
"58125",119362,"col","Baikur",107.75,74.800003,"Tulay-Kiryaka Plateau, Outcrop 602, Bed B, Taimyr Peninsula",NA,"",2,"Wordian","",268.8,265.1,27355,"gp_mid",45.24,55.53,"401",1,266.95,"wordian"
"58126",119363,"col","Baikur",107.75,74.800003,"Tulay-Kiryaka Plateau, Outcrop 602, Taimyr Peninsula",NA,"",1,"Wordian","",268.8,265.1,27355,"gp_mid",45.24,55.53,"401",1,266.95,"wordian"
"58128",119365,"col","Baikur",99.199997,74.400002,"Ugryumiy Brook, Outcrop 2001, Taimyr Lake",NA,"",1,"Wordian","",268.8,265.1,27355,"gp_mid",46.47,53.34,"401",1,266.95,"wordian"
"58130",119367,"col","Baikur",101.025002,74.775002,"Visokaya River, Outcrop 634, Taimyr Lake",NA,"",1,"Wordian","",268.8,265.1,27355,"gp_mid",45.77,53.8,"401",1,266.95,"wordian"
"58131",119368,"col","Baikur",103.400002,75.025002,"Zapadnaya River, Outcrop 129, Taimyr Lake",NA,"",2,"Wordian","",268.8,265.1,27355,"gp_mid",45.22,54.38,"401",1,266.95,"wordian"
"58132",119369,"col","Baikur",103.400002,75.025002,"Zapadnaya River, Outcrop 263, Taimyr Lake",NA,"",5,"Wordian","",268.8,265.1,27355,"gp_mid",45.22,54.38,"401",1,266.95,"wordian"
"58133",119370,"col","Baikur",103.400002,75.025002,"Zapadnaya River, Outcrop 83, Bed 13, Taimyr Lake",NA,"",8,"Wordian","",268.8,265.1,27355,"gp_mid",45.22,54.38,"401",1,266.95,"wordian"
"58134",119371,"col","Baikur",103.400002,75.025002,"Zapadnaya River, Outcrop 83, Bed 14, Taimyr Lake",NA,"",1,"Wordian","",268.8,265.1,27355,"gp_mid",45.22,54.38,"401",1,266.95,"wordian"
"58135",119372,"col","Baikur",103.400002,75.025002,"Zapadnaya River, Outcrop 83, Bed 15, Taimyr Lake",NA,"",1,"Wordian","",268.8,265.1,27355,"gp_mid",45.22,54.38,"401",1,266.95,"wordian"
"58136",119373,"col","Baikur",103.400002,75.025002,"Zapadnaya River, Outcrop 85, Taimyr Lake",NA,"",7,"Wordian","",268.8,265.1,27355,"gp_mid",45.22,54.38,"401",1,266.95,"wordian"
"58138",119375,"col","Baikur",101.949997,74.75,"Zayach'ya River, Outcrop 44, Bed D, Taimyr Peninsula",NA,"",1,"Wordian","",268.8,265.1,27355,"gp_mid",45.77,54.04,"401",1,266.95,"wordian"
"58205",119515,"col","Silungkang",101.800003,-1.75,"Bukit Bessi, south end of Bukit Pandjang, Padang",NA,"",2,"Wordian","",268.8,265.1,22890,"gp_mid",115.31,-32.07,"616",1,266.95,"wordian"
"58233",119543,"col","Amb",71.779999,32.549999,"Chidru, dark sandy limestones of Lower Productus-limestone, Salt Range",NA,"Chhidru",1,"Wordian","",268.8,265.1,27539,"gp_mid",52.31,-45.81,"501",1,266.95,"wordian"
"58355",119674,"col","Amb",72.580002,32.639999,"Nila Wan, Lower Productus-limestone, Salt Range",NA,"Nilawan",2,"Wordian","",268.8,265.1,16403,"gp_mid",52.83,-46.39,"501",1,266.95,"wordian"
