"","collection_no","record_type","formation","lng","lat","collection_name","collection_subset","collection_aka","n_occs","early_interval","late_interval","max_ma","min_ma","reference_no","paleomodel","paleolng","paleolat","geoplate","mid_ma","time_bin","id","getech_lng","getech_lat","Stage.number"
"12451",23328,"col","Woolwich & reading Beds",-0.03,51.63,"Reading Beds - Ponder's End",NA,"",1,"Thanetian","",59.2,56,6528,"gp_mid",8.28,41.77,"315",57.6,"thanetian",2321,-1.7169,46.9649,17
"12452",23329,"col","Woolwich & Reading Beds",0,51.33,"Woolwich Beds - Beddington",NA,"",1,"Thanetian","",59.2,56,6528,"gp_mid",8.27,41.47,"315",57.6,"thanetian",2322,-1.7169,46.9649,17
"12881",24270,"col","Avella",14.17,42.17,"Maiella reef blocks II, Italy",NA,"Reef 907",39,"Thanetian","",59.2,56,6862,"gp_mid",19.25,27.95,"307",57.6,"thanetian",2410,15.6942,32.7929,17
"13867",27018,"col","Babica Beds",21.9,49.92,"Babica, Middle Carpathians",NA,"KT loc. 435",100,"Thanetian","",59.2,56,7472,"gp_mid",26.41,39.49,"305",57.6,"thanetian",2687,18.7625,45.3219,17
"13868",27019,"col","Czarnorzeki Beds",21.93,49.77,"Plosina, Middle Carpathians",NA,"KT loc. 435",106,"Thanetian","",59.2,56,7472,"gp_mid",26.44,39.34,"305",57.6,"thanetian",2688,18.7625,45.3219,17
"13869",27020,"col","Czarnorzeki Beds",21.97,49.77,"Blizne, Middle Carpathians",NA,"KT loc. 435",82,"Thanetian","",59.2,56,7472,"gp_mid",26.47,39.34,"305",57.6,"thanetian",2689,18.7625,45.3219,17
"13870",27021,"col","Czarnorzeki Beds",21.97,49.77,"Blizne conglomerates, Middle Carpathians",NA,"KT loc. 435",8,"Thanetian","",59.2,56,7472,"gp_mid",26.47,39.34,"305",57.6,"thanetian",2689,18.7625,45.3219,17
"17109",31329,"col","",5.73,43.6,"Saint-Maurin",NA,"Rians",1,"Thanetian","",59.2,56,8465,"gp_mid",12.45,33.48,"305",57.6,"thanetian",3471,4.6344,38.3683,17
"17110",31330,"col","",5.53,43.53,"Saint-Antonin",NA,"Suberoque farm",1,"Thanetian","",59.2,56,8465,"gp_mid",12.27,33.43,"305",57.6,"thanetian",3472,2.6407,36.7498,17
"17111",31331,"col","",5.9,43.68,"Saint-Julien-le-Montagnie",NA,"Saint-Julien",1,"Thanetian","",59.2,56,8465,"gp_mid",12.6,33.56,"305",57.6,"thanetian",3473,4.6344,38.3683,17
"17112",31332,"col","",6.03,43.57,"Ponteves",NA,"",1,"Thanetian","",59.2,56,8465,"gp_mid",12.71,33.44,"305",57.6,"thanetian",3474,4.6344,38.3683,17
"17113",31333,"col","",6.15,43.57,"Sillans-la-Cascade",NA,"",1,"Thanetian","",59.2,56,8465,"gp_mid",12.81,33.43,"305",57.6,"thanetian",3475,4.6344,38.3683,17
"17114",31334,"col","",5.78,43.72,"La Baraque, Vinon",NA,"La Barraque",1,"Thanetian","",59.2,56,8465,"gp_mid",12.5,33.6,"305",57.6,"thanetian",3476,4.6344,38.3683,17
"19806",34415,"col","Dakhla",27.83,26.45,"Farafra Oasis Thanetian mounds, Egypt",NA,"Reef 1741",8,"Thanetian","",59.2,56,9061,"gp_mid",29.83,10.05,"715",57.6,"thanetian",3946,22.2341,17.6051,17
"19964",34652,"col","Salt Mountain Limestone",-87.92,31.43,"Salt Mountain [Salt Mountain Lmst]",NA,"Reef 690",28,"Thanetian","",59.2,56,9168,"gp_mid",-60.91,35.57,"109",57.6,"thanetian",3982,-67.8548,33.5914,17
"22904",38793,"col","",-41.55,-22.1,"700 m east of São José (Itaborai Basin)",NA,"",5,"Itaboraian","",59,57,13023,"gp_mid",-25.73,-27.57,"201",58,"thanetian",4768,-26.703,-26.2301,17
"28440",45854,"col","Auradu Limestone",45.05,10.33,"Berbera-Sheikh area",NA,"Reef 3367",14,"Thanetian","",59.2,56,12203,"gp_mid",43.46,-6.92,"709",57.6,"thanetian",6508,39.5442,-0.4928,17
"32699",51083,"col","Red Bluff Tuff",-176.25,-44.3,"CH/f488 - Red Bluff Tuff, Chatham Islands",NA,"GS 12187; Coll# 2758 (Hendy PhD)",12,"Thanetian","",59.2,56,13610,"gp_mid",-140.1,-49.28,"807",57.6,"thanetian",7804,-145.6884,-59.2087,17
"33711",133242,"col","",-5.61,31.51,"N'Tagourt",NA,"",1,"Thanetian","",59.2,56,42889,"gp_mid",1.08,20.5,"714",57.6,"thanetian",8062,-4.7471,25.5058,17
"33713",133241,"col","",-7,31.96,"Ihadjamene",NA,"Ihad Jamene",10,"Thanetian","",59.2,56,42889,"gp_mid",-0.01,21.25,"707",57.6,"thanetian",8064,-8.2122,26.0193,17
"34125",52593,"col","Silverado",-117.82,33.86,"F83 - Silverado Formation, Santa Ana Mountains",NA,"Field #Y92A",1,"Thanetian","",59.2,56,3060,"gp_mid",-88.82,41.42,"105",57.6,"thanetian",8250,-98.0847,40.6031,17
"34126",52594,"col","Silverado",-117.82,33.86,"F84 - Silverado Formation, Santa Ana Mountains",NA,"USGS #18981; Field #S26",1,"Thanetian","",59.2,56,3060,"gp_mid",-88.82,41.42,"105",57.6,"thanetian",8250,-98.0847,40.6031,17
"34127",52595,"col","Silverado",-117.82,33.86,"F85 - Silverado Formation, Santa Ana Mountains",NA,"USGS #18982; Field #S101",7,"Thanetian","",59.2,56,3060,"gp_mid",-88.82,41.42,"105",57.6,"thanetian",8250,-98.0847,40.6031,17
"34128",52596,"col","Silverado",-117.71,33.87,"F86 - Silverado Formation, Santa Ana Mountains",NA,"USGS #18983; Field #S25",22,"Thanetian","",59.2,56,3060,"gp_mid",-88.7,41.41,"105",57.6,"thanetian",8251,-98.0847,40.6031,17
"34129",52597,"col","Silverado",-117.72,33.79,"F87 - Silverado Formation, Santa Ana Mountains",NA,"Field #S74",4,"Thanetian","",59.2,56,3060,"gp_mid",-88.73,41.34,"105",57.6,"thanetian",8252,-98.0847,40.6031,17
