"","collection_no","record_type","formation","lng","lat","collection_name","collection_subset","collection_aka","n_occs","early_interval","late_interval","max_ma","min_ma","reference_no","paleomodel","paleolng","paleolat","geoplate","marine","mid_ma","time_bin"
"9243",38620,"col","",3,44,"South-France, Truc de Balduc",NA,"",7,"Late Toarcian","",180.1,175.6,10359,"gp_mid",25.81,32.17,"305",1,177.85,"toarcian"
"9245",38622,"col","",3,44,"South-France, Cornus",NA,"",1,"Late Toarcian","",180.1,175.6,10359,"gp_mid",25.81,32.17,"305",1,177.85,"toarcian"
"9246",38623,"col","",3,44,"South-France, Le Pezade",NA,"",1,"Late Toarcian","",180.1,175.6,10359,"gp_mid",25.81,32.17,"305",1,177.85,"toarcian"
"9247",38624,"col","",3,44,"South-France, Ravin de Chavoyvolles",NA,"",1,"Late Toarcian","",180.1,175.6,10359,"gp_mid",25.81,32.17,"305",1,177.85,"toarcian"
"9248",38625,"col","",3,44,"South-France, Pimperdu",NA,"",1,"Late Toarcian","",180.1,175.6,10359,"gp_mid",25.81,32.17,"305",1,177.85,"toarcian"
"9249",38626,"col","",3,44,"South-France, Aveyron",NA,"",1,"Late Toarcian","",180.1,175.6,10359,"gp_mid",25.81,32.17,"305",1,177.85,"toarcian"
"9250",38627,"col","",3,44,"South-France, La Verpilliére",NA,"",1,"Late Toarcian","",180.1,175.6,10359,"gp_mid",25.81,32.17,"305",1,177.85,"toarcian"
"9251",38628,"col","",9.216667,48.5,"South-Germany, Reutlingen",NA,"",1,"Late Toarcian","",180.1,175.6,10359,"gp_mid",29.46,37.62,"305",1,177.85,"toarcian"
"9252",38629,"col","",8.833333,48.25,"South-Germany, Heselwangen bei Balingen",NA,"",3,"Late Toarcian","",180.1,175.6,10359,"gp_mid",29.24,37.31,"305",1,177.85,"toarcian"
"9253",38630,"col","",9.266667,48.549999,"South-Germany, Metzingen",NA,"",1,"Late Toarcian","",180.1,175.6,10359,"gp_mid",29.48,37.68,"305",1,177.85,"toarcian"
"9254",38631,"col","",10.05,48.849998,"South-Germany, Hammerstadt",NA,"",2,"Late Toarcian","",180.1,175.6,10359,"gp_mid",30,38.11,"305",1,177.85,"toarcian"
"9255",38632,"col","",10.066667,48.849998,"South-Germany, Treppach",NA,"",1,"Late Toarcian","",180.1,175.6,10359,"gp_mid",30.01,38.12,"305",1,177.85,"toarcian"
"9256",38633,"col","",8.85,48.25,"South-Germany, Weilstetten",NA,"",1,"Late Toarcian","",180.1,175.6,10359,"gp_mid",29.25,37.32,"305",1,177.85,"toarcian"
"9257",38634,"col","",11.333333,49.233334,"South-Germany, Möning bei Neumarkt",NA,"",1,"Late Toarcian","",180.1,175.6,10359,"gp_mid",30.89,38.72,"305",1,177.85,"toarcian"
"9258",38635,"col","",12.166667,48.5,"South-Germany, Altdorf",NA,"",2,"Late Toarcian","",180.1,175.6,10359,"gp_mid",31.83,38.18,"305",1,177.85,"toarcian"
"9259",38636,"col","",11.5,49,"South-Germany, Donau-Main-Kanal",NA,"",2,"Late Toarcian","",180.1,175.6,10359,"gp_mid",31.11,38.53,"305",1,177.85,"toarcian"
"9260",38637,"col","",11.5,49.25,"South-Germany, Rasch",NA,"",1,"Late Toarcian","",180.1,175.6,10359,"gp_mid",31.02,38.77,"305",1,177.85,"toarcian"
"9261",38638,"col","",10.1,48.833332,"South-Germany, Wasseralfingen",NA,"",2,"Late Toarcian","",180.1,175.6,10359,"gp_mid",30.05,38.11,"305",1,177.85,"toarcian"
"9262",38639,"col","",11.45,49.299999,"South-Germany, Berg bei Neumarkt",NA,"",4,"Late Toarcian","",180.1,175.6,10359,"gp_mid",30.96,38.81,"305",1,177.85,"toarcian"
"9263",38640,"col","",8.416667,47.666668,"South-Germany, Wutach",NA,"",2,"Late Toarcian","",180.1,175.6,10359,"gp_mid",29.1,36.68,"305",1,177.85,"toarcian"
"9740",39571,"col","Shinatani",137.333328,36.75,"Asahi Area, Shinatani Formation, Honshu",NA,"",4,"Toarcian","",182.7,174.1,10664,"gp_mid",161.24,47.12,"610",1,178.4,"toarcian"
"10020",39970,"col","Iwamuro",139,36.75,"Katashina Area, Iwamuro Formation, Honshu",NA,"",2,"Toarcian","",182.7,174.1,10664,"gp_mid",163.2,47.06,"610",1,178.4,"toarcian"
"10136",40225,"col","Shinatani",138,36.666668,"Kotaki Area, Shinatani Formation, Honshu",40038,"",2,"Toarcian","",182.7,174.1,10664,"gp_mid",162.02,47.01,"610",1,178.4,"toarcian"
"10176",40310,"col","Shinatani",137.800003,37.016666,"Omi Area, Shinatani Formation, Honshu",NA,"",7,"Toarcian","",182.7,174.1,10664,"gp_mid",161.8,47.37,"610",1,178.4,"toarcian"
"10177",40311,"col","Otakidani",137.800003,37.016666,"Omi Area, Otakidani Formation, Honshu",NA,"",1,"Late Toarcian","",180.1,175.6,10664,"gp_mid",161.8,47.37,"610",1,177.85,"toarcian"
"10200",40334,"col","Shinatani",138,36.5,"Otari Area, Shinatani Formation, Honshu",40330,"",3,"Toarcian","",182.7,174.1,10664,"gp_mid",162.01,46.85,"610",1,178.4,"toarcian"
"10260",40542,"col","Hosoura",141.433334,38.666668,"Shizukawa Area, Hosoura Formation, Honshu",NA,"",3,"Toarcian","",182.7,174.1,10664,"gp_mid",166.22,48.87,"610",1,178.4,"toarcian"
"10279",40562,"col","Nishinakayama",131,34.166668,"Toyoda Area, Nishinakayama Formation, Honshu",NA,"",1,"Toarcian","",182.7,174.1,10664,"gp_mid",153.74,44.66,"610",1,178.4,"toarcian"
"10312",40615,"col","Yamaoku",133.566666,35.066666,"Osakabe Area, Yamaoku Formation, Honshu",NA,"",5,"Toarcian","",182.7,174.1,10664,"gp_mid",156.75,45.53,"610",1,178.4,"toarcian"
"11376",42255,"col","",-0.9,52.633331,"Tilton, Leicestershire",NA,"",1,"Toarcian","",182.7,174.1,11186,"gp_mid",20.12,39.93,"315",1,178.4,"toarcian"
"11377",42256,"col","",-1.1,52.233334,"Dodford, Northamptonshire",NA,"",1,"Toarcian","",182.7,174.1,11186,"gp_mid",20.09,39.51,"315",1,178.4,"toarcian"
"11379",42260,"col","",-2.9,50.916668,"Ilminster, Somerset",NA,"",1,"Toarcian","",182.7,174.1,11186,"gp_mid",19.1,37.97,"315",1,178.4,"toarcian"
