"","collection_no","record_type","formation","lng","lat","collection_name","collection_subset","collection_aka","n_occs","early_interval","late_interval","max_ma","min_ma","reference_no","paleomodel","paleolng","paleolat","geoplate","mid_ma","time_bin","id","getech_lng","getech_lat","Stage.number"
"134207",197211,"col","La Victoria",-75.17,3.27,"Stratigraphic level H",NA,"Boreostemma IGM_p182677",1,"Laventan","",13.8,11.8,47321,"gp_mid",-71.56,4.06,"201",12.8,"serravallian",34355,-73.0392,0.936,7
"134370",197501,"col","",-65.15,-21.91,"Papachacra",NA,"",1,"Serravallian","",13.82,11.62,67357,"gp_mid",-62.36,-21.41,"201",12.72,"serravallian",35309,-61.6116,-24.0136,7
"134371",197502,"col","",-65.12,-22.02,"Huayllajara",NA,"B-10-05",4,"Serravallian","",13.82,11.62,67357,"gp_mid",-62.33,-21.52,"201",12.72,"serravallian",35310,-61.6116,-24.0136,7
"134949",198616,"col","",8.71,47.51,"Veltheim, near Winterthur (anterior quarry)",NA,"",4,"Serravallian","",13.82,11.62,67647,"gp_mid",10.47,45.12,"305",12.72,"serravallian",35418,4.7605,46.5291,7
"134950",198617,"col","",8.71,47.51,"Veltheim, near Winterthur (posterior quarry)",NA,"",1,"Serravallian","",13.82,11.62,67647,"gp_mid",10.47,45.12,"305",12.72,"serravallian",35418,4.7605,46.5291,7
"135090",198866,"col","",23.47,47.5,"Vălenii Șomcutei locality, MF5‑coralline algal rudstone",NA,"",4,"Badenian","",13.65,12.7,67745,"gp_mid",25.14,43.94,"308",13.175,"serravallian",35475,19.5293,46.8948,7
"135092",198869,"col","",23.47,47.5,"Vălenii Șomcutei locality, MF6‑coralline algal debris grainstone",NA,"",7,"Badenian","",13.65,12.7,67745,"gp_mid",25.14,43.94,"308",13.175,"serravallian",35475,19.5293,46.8948,7
"135093",198870,"col","",23.47,47.5,"Vălenii Șomcutei locality, MF1‑bio‑extraclastic grainstone",NA,"",9,"Badenian","",13.65,12.7,67745,"gp_mid",25.14,43.94,"308",13.175,"serravallian",35475,19.5293,46.8948,7
"135094",198871,"col","",23.47,47.5,"Vălenii Șomcutei locality, MF2‑oolitic packstone/grainstone",NA,"",7,"Badenian","",13.65,12.7,67745,"gp_mid",25.14,43.94,"308",13.175,"serravallian",35475,19.5293,46.8948,7
"135095",198872,"col","",23.47,47.5,"Vălenii Șomcutei locality, MF3‑bio‑extraclastic packstone/grainstone",NA,"",6,"Badenian","",13.65,12.7,67745,"gp_mid",25.14,43.94,"308",13.175,"serravallian",35475,19.5293,46.8948,7
